@RELATION 'DescriptiveAttributes-weka.filters.unsupervised.attribute.Remove-R320,322-329,331,336,340,343,346-347,350-351,355-357,362-367,373-374,386-409,412,415'

@ATTRIBUTE Cid                                                              string
@ATTRIBUTE AGR_EMP                                                          numeric
@ATTRIBUTE AGR_EXP                                                          numeric
@ATTRIBUTE AGR_IMP                                                          numeric
@ATTRIBUTE AGR_VAL                                                          numeric
@ATTRIBUTE RUR_POP                                                          numeric
@ATTRIBUTE MORT                                                             numeric
@ATTRIBUTE EMPL_BAD                                                         numeric
@ATTRIBUTE CATP_TO_ASSET                                                    numeric
@ATTRIBUTE COMP_CAPIT                                                       numeric
@ATTRIBUTE MON_GROWTH                                                       numeric
@ATTRIBUTE M2                                                               numeric
@ATTRIBUTE CRED_COVER                                                       numeric
@ATTRIBUTE STOCKS                                                           numeric
@ATTRIBUTE WORKER_REMIT                                                     numeric
@ATTRIBUTE EMP_PART_M                                                       numeric
@ATTRIBUTE UNEMP_M                                                          numeric
@ATTRIBUTE UNEMP_F                                                          numeric
@ATTRIBUTE EDU_PRIM_F                                                       numeric
@ATTRIBUTE EDU_PRIM_M                                                       numeric
@ATTRIBUTE EDU_TERT_F                                                       numeric
@ATTRIBUTE EDU_TERT_M                                                       numeric
@ATTRIBUTE LABOR_F                                                          numeric
@ATTRIBUTE LABOR_M                                                          numeric
@ATTRIBUTE LABOR_PARTICIP_RATE                                              numeric
@ATTRIBUTE EDU_TOTAL_F                                                      numeric
@ATTRIBUTE EDU_TOTAL_M                                                      numeric
@ATTRIBUTE UNEM_F                                                           numeric
@ATTRIBUTE UNEM_M                                                           numeric
@ATTRIBUTE POP_14                                                           numeric
@ATTRIBUTE POP_15_64                                                        numeric
@ATTRIBUTE POP_64                                                           numeric
@ATTRIBUTE POP_F                                                            numeric
@ATTRIBUTE POP_GROWTH                                                       numeric
@ATTRIBUTE AGR_F                                                            numeric
@ATTRIBUTE AGR_M                                                            numeric
@ATTRIBUTE EMPL_INDUST_F                                                    numeric
@ATTRIBUTE EMPL_INDUST_M                                                    numeric
@ATTRIBUTE EMPL_SERV_F                                                      numeric
@ATTRIBUTE EMPL_SERV_M                                                      numeric
@ATTRIBUTE EMPL_AGR                                                         numeric
@ATTRIBUTE EMPL_POP                                                         numeric
@ATTRIBUTE UNEMPL_LONG                                                      numeric
@ATTRIBUTE UNEMPL_YOUTH_F                                                   numeric
@ATTRIBUTE UNEMPL_YOUTH_M                                                   numeric
@ATTRIBUTE POP_LARGEST_CITY                                                 numeric
@ATTRIBUTE POP_MILLION_CITY                                                 numeric
@ATTRIBUTE URBAN_POP                                                        numeric
@ATTRIBUTE BAL                                                              numeric
@ATTRIBUTE CRED                                                             numeric
@ATTRIBUTE FDI                                                              numeric
@ATTRIBUTE BNK_HLTH                                                         numeric

@DATA
"64",?,2.4876,2.8491,14.4655,56.2978,21.0,?,6.3,22.0704,12.3489,74.0797,16.4,37.7932,7.3189,?,?,?,?,?,?,?,23.6,74.6,49.0,?,?,24.1,9.3,31.2481,63.1063,5.6455,49.7855,1.6606,?,?,?,?,?,?,?,43.2,?,?,?,31.8375,19.805,43.7022,-2.6526,29.1121,1.0644,6.3
"65",21.0,0.9016,1.9833,11.8349,34.7532,15.9,37.5,13.9,45.0167,1.0379,44.5883,83.7,0.6455,16.4566,3.4,?,?,?,?,?,?,47.6,79.0,62.0,?,?,4.3,7.3,30.6218,62.32,7.0583,52.566,0.6556,5.0,32.4,18.4,23.0,76.5,44.6,21.0,57.7,?,11.7,12.8,39.4645,25.9799,65.2468,-5.2691,40.1172,1.956,13.9
"66",?,?,?,?,60.3126,100.3,?,?,?,57.8338,18.6897,0.0,?,?,?,?,?,60.8306,61.1476,?,?,80.6,92.3,86.6,61.992,62.3855,?,?,38.9521,58.244,2.8036,48.7732,2.7958,?,?,?,?,?,?,?,80.1,?,?,?,?,?,39.6874,?,6.7404,11.9513,?
"67",?,?,?,?,78.174,51.8,?,?,?,?,?,0.0,?,?,?,?,?,30.6304,35.1672,?,?,79.9,89.8,84.7,31.9701,36.3642,?,?,43.0966,54.6999,2.2036,50.1264,3.284,?,?,?,?,?,?,?,78.1,?,?,?,?,?,21.826,?,?,2.3826,?
"68",4.7,3.839,1.8436,?,30.4254,3.6,5.0,9.5,10.4151,5.807,67.3782,33.4,9.1181,1.7917,5.8,6.0,4.9,?,?,?,?,56.0,68.7,61.8,?,?,9.3,11.0,15.6886,66.4944,17.8169,53.6222,-0.0397,2.6,6.7,17.7,44.7,79.6,48.4,4.7,55.5,5.5,17.9,23.4,?,?,69.5746,-1.8078,77.358,7.3624,9.5
"69",?,?,?,48.7611,82.7202,68.3,?,?,?,?,?,0.0,?,1.5007,?,?,?,77.2699,81.6149,5.1824,11.1692,78.2,89.4,83.8,78.0587,82.3556,?,?,43.2914,53.3226,3.3859,49.9756,2.5794,?,?,?,?,?,?,?,79.2,?,?,?,19.4408,3.3335,17.2798,-7.1752,?,0.6695,?
"70",?,?,?,?,58.6476,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-0.0909,?,?,?,?,?,?,?,?,?,?,?,?,?,41.3524,?,?,?,?
"72",?,?,?,13.2244,47.3726,22.4,?,?,11.5791,5.8958,68.7687,69.5,1.5678,4.8779,?,?,?,?,?,?,?,37.5,72.0,55.0,?,?,?,?,28.8781,65.9183,5.2037,49.0203,0.7828,?,?,?,?,?,?,?,50.4,?,?,?,?,?,52.6274,?,77.8964,6.8366,?
"73",4.1,6.1615,2.0697,?,16.1824,2.9,9.6,4.4,64.104,4.7513,117.871,18.9,83.5055,0.3499,9.5,2.0,1.2,?,?,?,?,56.0,64.3,60.1,?,?,7.0,8.1,16.4153,65.2597,18.325,50.8869,0.4818,2.3,5.9,9.0,35.6,88.1,58.1,4.1,55.5,1.6,17.9,17.6,24.9887,21.1603,83.8176,-1.4941,99.2251,1.7501,4.4
"74",2.9,0.954,1.1826,?,13.7422,4.1,7.1,?,69.7828,1.0763,157.81,0.0,66.4262,0.8296,6.8,4.0,3.9,?,?,?,?,50.9,61.8,56.1,?,?,10.0,9.8,18.2591,64.2751,17.4658,51.6065,0.496,1.9,3.9,10.3,32.1,87.4,63.6,2.9,50.6,3.9,23.7,23.9,18.7466,22.5629,86.2578,-2.1909,115.9635,1.0763,?
"75",?,2.3535,1.0425,?,48.5504,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,47.1,64.1,55.8,?,?,?,?,22.9123,69.9738,7.1136,48.8485,1.0795,?,?,?,?,?,?,?,?,?,?,?,?,?,51.4496,?,?,?,?
"76",?,?,?,3.9022,13.5424,62.0,?,?,?,9.9742,20.8248,0.0,?,?,?,?,?,?,?,?,?,56.0,65.1,60.6,?,?,?,?,38.488,56.3049,5.2071,49.7638,2.3889,?,?,?,?,?,?,?,48.2,?,?,?,?,?,86.4576,?,10.5606,3.8222,?
"77",?,?,?,?,42.2392,72.9,?,?,?,7.2676,53.0107,0.0,?,15.3704,?,?,?,73.04,68.815,?,?,72.2,83.0,77.5,76.1385,71.3913,?,?,45.8985,51.6578,2.4438,50.5289,3.1912,?,?,?,?,?,?,?,71.5,?,?,?,?,?,57.7608,6.2815,15.5488,3.6547,?
"78",?,0.9285,0.8412,8.515,47.0204,19.9,?,16.5,5.9911,11.3551,30.2374,35.5,0.249,11.2408,?,?,?,98.9928,97.787,31.2157,24.6458,56.2,74.7,64.7,99.2773,98.0266,13.8,16.1,17.6172,68.1131,14.2696,52.8646,0.6314,?,?,?,?,?,?,?,55.0,?,?,?,47.2125,24.9041,52.9796,-11.7496,34.4743,5.2787,16.5
"79",1.5,0.8208,1.4419,?,25.9262,4.1,6.8,4.4,43.3564,-0.8795,173.3145,100.0,91.7734,0.4073,8.9,2.6,2.3,?,?,?,?,53.5,66.4,59.8,?,?,5.2,5.6,13.166,65.7331,21.1009,50.9489,0.1126,1.1,1.9,14.2,40.2,84.7,57.9,1.5,56.5,2.5,7.4,8.8,5.7205,9.3604,74.0738,6.9633,101.0898,0.7941,4.4
"80",?,2.2169,1.055,22.6649,47.4782,72.0,?,?,8.5101,25.1392,31.278,5.7,1.6352,0.3389,?,?,?,80.5287,83.0061,9.241,15.1305,67.2,71.2,69.2,81.0968,83.5401,?,?,38.5931,57.8944,3.5125,50.4773,2.175,?,?,?,?,?,?,?,66.7,?,?,?,18.7013,18.8151,52.5218,-11.7352,16.1169,8.0925,?
"82",13.0,2.2557,1.0906,?,38.2934,4.8,29.7,?,17.8981,-4.9642,100.1337,84.0,37.9281,0.2735,6.0,12.1,17.4,?,?,?,?,44.2,62.6,53.2,?,?,28.1,21.4,14.5963,66.0011,19.4025,50.6652,-0.1755,12.9,13.1,7.5,22.9,79.6,64.0,13.0,40.3,14.4,63.2,48.4,46.9383,30.5705,61.7066,-2.4777,120.7083,0.6677,?
"83",?,?,?,?,15.0658,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-0.1143,?,?,?,?,?,?,?,?,?,?,?,?,?,84.9342,?,?,?,?
"84",?,?,?,5.7029,60.507,13.5,?,?,?,-4.9929,95.4053,0.0,?,3.8296,?,?,?,?,?,?,?,?,?,?,?,?,?,?,26.9636,65.912,7.1244,49.9559,0.3885,?,?,?,?,?,?,?,?,?,?,?,?,?,39.493,-27.9724,86.4098,3.944,?
"85",?,?,?,?,6.7608,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,55.8,69.5,62.7,?,?,10.8,11.9,26.6446,65.5605,7.7962,49.2316,1.2062,?,?,?,?,?,?,?,?,?,?,?,?,?,93.2392,?,?,?,?
"86",32.3,4.3768,1.4225,11.5712,49.7632,32.0,?,9.5,?,9.3607,46.2057,8.7,?,10.0222,?,?,?,?,?,?,?,49.1,88.2,67.6,?,?,3.6,2.4,40.7973,54.6951,4.5076,51.2455,2.5262,12.6,43.7,15.5,21.8,71.8,34.5,32.3,64.8,?,?,?,15.4364,8.065,50.2368,-2.8797,31.7623,2.2894,9.5
"87",?,?,?,20.5447,64.056,101.2,?,?,?,?,?,0.0,?,1.1773,?,?,?,67.4089,81.2347,4.7265,12.7875,65.5,78.3,71.9,68.4181,82.5099,?,?,42.4555,54.4224,3.1221,49.9256,2.5628,?,?,?,?,?,?,?,69.6,?,?,?,43.2601,16.3176,35.944,-18.4426,?,10.75,?
"88",?,?,?,43.6557,55.4252,129.1,?,?,?,-11.9179,38.7671,0.0,?,?,?,?,?,?,?,?,?,68.1,78.5,73.2,?,?,?,?,41.5541,55.542,2.904,50.2929,2.3926,?,?,?,?,?,?,?,67.7,?,?,?,?,?,44.5748,?,15.2981,1.9733,?
"89",?,?,?,21.4557,71.511,35.2,?,?,21.4322,12.8939,66.974,0.0,?,16.4619,?,?,?,?,?,17.7848,8.3208,42.3,80.9,61.4,?,?,?,?,36.7744,59.9297,3.296,49.186,0.5657,?,?,?,?,?,?,?,48.0,?,?,?,?,?,28.489,-13.8506,40.9961,9.6866,?
"90",?,?,?,?,45.3648,75.6,?,?,?,7.143,45.767,0.0,?,20.5563,?,?,?,?,?,?,?,60.6,70.8,65.6,?,?,?,?,35.3538,60.1406,4.5056,50.5903,1.3947,?,?,?,?,?,?,?,61.0,?,?,?,40.8878,22.3383,54.6352,-4.4457,18.7801,2.279,?
"92",?,?,?,14.7705,47.275,22.9,?,11.0,?,6.9874,50.9986,32.9,?,15.7826,?,?,?,94.8241,93.2354,?,?,42.5,82.9,62.5,94.8241,93.2354,?,?,35.7174,59.8896,4.393,49.9811,2.0262,?,?,?,?,?,?,?,59.5,?,?,?,25.9777,14.2255,52.725,-9.4627,51.8484,5.7912,11.0
"93",5.2,0.7533,1.2492,?,30.0934,6.2,6.4,10.9,16.9184,-4.7851,60.8732,15.8,54.5882,1.7205,3.1,5.2,4.8,?,?,?,?,44.7,59.9,51.8,?,?,10.6,11.2,14.621,68.3361,17.0428,52.4861,-0.2809,2.9,7.2,19.2,39.0,78.0,53.8,5.2,46.2,5.1,27.3,28.8,24.5787,17.5603,69.9066,1.6752,56.7711,7.5086,10.9
"94",5.5,0.6544,0.8684,?,6.1656,2.3,8.0,?,20.8022,-2.6498,89.7564,100.0,28.3006,0.1416,11.4,1.6,1.5,?,?,?,?,70.6,77.3,74.0,?,?,5.7,6.4,20.7075,66.7377,12.5548,49.6758,0.3514,2.1,8.7,7.5,28.0,90.3,62.8,5.5,69.5,1.5,12.4,14.7,?,?,93.8344,-5.4516,97.2629,7.9976,?
"95",47.2,1.9547,1.8275,17.3854,68.34,56.3,?,6.9,68.5958,11.0457,76.3252,14.9,54.6344,3.7368,?,?,?,?,?,?,?,28.8,80.9,55.5,?,?,4.0,3.4,29.4332,65.3715,5.1954,48.2839,1.2638,59.8,43.0,20.7,26.0,19.5,31.0,47.2,53.7,?,11.6,10.4,5.8662,12.707,31.66,-4.9666,51.4918,1.3029,6.9
"96",?,5.9401,2.6222,14.4435,48.5524,31.0,?,11.9,45.1882,14.955,40.1306,0.0,23.3035,0.8214,?,?,?,?,?,?,?,51.3,84.4,67.8,?,?,?,?,29.273,65.5983,5.1287,49.6866,1.2483,?,?,?,?,?,?,?,63.3,?,?,?,7.4016,8.8802,51.4476,-2.7418,34.9507,2.2343,11.9
"98",?,?,?,?,30.7736,17.6,?,?,?,32.5927,?,31.9,17.7845,?,?,?,?,?,?,55.2022,55.1273,16.4,73.1,44.8,?,?,?,?,23.6819,71.0752,5.2428,49.6288,1.3173,?,?,?,?,?,?,?,38.9,?,?,?,13.9273,24.4889,69.2264,?,?,?,?
"99",?,?,?,?,33.5284,34.4,?,?,?,4.1083,31.4627,0.0,?,0.1289,?,?,?,?,?,?,?,14.7,69.7,42.2,?,?,?,?,40.509,56.2346,3.2564,49.436,2.5435,?,?,?,?,?,?,?,35.8,?,?,?,28.5175,27.0875,66.4716,14.0484,6.1523,1.6169,?
"100",4.7,0.5701,0.7025,?,37.488,4.0,11.7,7.1,51.7214,-3.4562,160.7809,100.0,11.1652,0.3323,13.9,11.9,5.3,?,?,?,?,52.7,67.9,60.2,?,?,11.0,17.6,21.5436,66.6988,11.7577,50.3851,0.2629,1.2,7.7,8.8,26.6,89.8,65.4,4.7,51.3,9.0,24.0,36.4,39.3992,24.9459,62.512,4.3864,185.7349,19.4342,7.1
"101",?,0.6031,0.9717,?,8.0558,4.2,?,10.9,?,?,?,100.0,45.9039,?,7.0,0.8,0.8,?,?,?,?,58.1,69.5,63.7,?,?,7.0,6.8,27.5279,61.9312,10.541,50.5372,1.812,?,?,?,?,?,?,?,59.3,0.8,12.7,11.6,46.4276,57.088,91.9442,?,?,?,10.9
"102",3.7,?,?,?,31.42,3.8,18.2,?,23.8477,6.6046,165.0974,100.0,166.6089,0.3636,7.1,5.0,6.4,?,?,?,?,39.4,59.4,49.0,?,?,11.9,9.9,14.0425,65.1346,20.8229,51.4457,0.3196,2.6,4.5,13.9,37.6,83.5,57.9,3.7,43.8,5.6,37.5,33.7,8.0682,16.7873,68.58,-0.3997,124.4078,0.3319,?
"103",18.1,?,?,6.718,47.844,16.8,37.5,?,43.3104,-2.0534,47.0887,0.0,3.0196,14.54,?,?,?,?,?,?,?,56.1,71.0,63.3,?,?,17.8,10.3,27.7848,64.3294,7.8859,50.7735,0.2067,7.9,25.8,6.5,22.3,85.6,51.8,18.1,54.7,?,42.6,27.1,?,?,52.156,-12.9093,29.012,1.5505,?
"104",?,0.7957,1.379,?,8.2706,3.0,?,?,61.7644,2.2366,241.2344,100.0,99.8493,0.0426,10.1,2.1,1.0,?,?,?,?,48.1,70.4,58.9,?,?,4.0,4.6,13.1135,62.4888,24.3977,51.3272,-0.2003,?,?,?,?,?,?,?,56.3,1.6,7.1,8.7,31.5334,50.5103,91.7294,1.0212,176.7204,0.0424,?
"105",2.0,?,?,3.1324,17.0494,19.1,9.7,?,87.0475,-2.0421,118.3897,0.0,10.2916,11.5223,?,?,?,?,?,?,?,15.3,66.2,41.3,?,?,19.9,10.4,34.1258,62.3854,3.4887,48.9453,2.1923,0.9,2.3,7.7,19.4,91.3,78.5,2.0,36.2,?,48.8,25.2,21.772,19.1537,82.9506,-18.3578,72.8958,4.8277,?
"106",25.5,0.1313,0.614,4.6655,46.4584,18.7,29.2,8.7,11.5446,7.8979,34.6739,39.3,3.3334,0.0842,?,?,?,85.9668,85.9552,52.5679,36.6381,67.5,77.5,72.2,99.6592,98.2781,6.5,4.1,25.4572,67.9884,6.5544,51.8228,1.4317,?,?,?,?,?,?,25.5,68.4,?,5.1,2.9,15.8629,8.6281,53.5416,3.7915,36.6833,7.4279,8.7
"107",?,?,?,29.8764,75.6026,72.9,?,?,36.3434,14.3923,50.6172,4.9,8.0667,2.9819,?,?,?,?,?,?,?,62.0,72.2,67.1,?,?,?,?,42.3679,54.9903,2.6418,50.1022,2.7001,?,?,?,?,?,?,?,60.9,?,?,?,36.3165,8.124,24.3974,-10.4491,36.5873,0.6354,?
"108",?,?,0.7765,?,55.9338,59.9,?,?,?,?,?,0.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,32.3636,63.615,4.0234,50.2858,1.5358,?,?,?,?,?,?,?,?,?,?,?,?,?,44.0662,?,?,-0.9599,?
"109",?,?,?,?,39.526,28.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,72.3,84.2,78.1,?,?,?,?,21.9809,68.7907,9.2284,51.1298,0.5341,?,?,?,?,?,?,?,74.5,?,?,?,18.9887,11.5589,60.474,?,?,?,?
"110",?,1.1369,1.5608,2.6395,16.5314,3.8,?,8.8,104.5038,4.8065,144.2593,100.0,139.2181,0.7502,6.7,0.0,0.0,?,?,?,?,49.9,72.0,60.8,?,?,3.0,3.4,15.2527,72.9355,11.8118,50.2686,0.451,?,?,?,?,?,?,?,58.8,0.0,8.5,9.7,23.4054,47.1462,83.4686,3.8363,147.9722,0.4425,8.8
"111",?,?,?,?,1.7324,11.0,?,?,?,6.4658,?,31.0,23.2348,?,?,?,?,?,?,?,?,43.4,82.8,68.1,?,?,?,?,24.904,72.9181,2.1779,40.2138,3.9468,?,?,?,?,?,?,?,67.1,?,?,?,76.2944,75.772,98.2676,?,?,?,?
"112",?,?,?,20.1866,64.5248,26.6,?,?,2.5479,?,?,24.6,3.3606,31.3733,?,?,?,89.4424,91.5371,?,?,55.7,79.0,67.1,97.7168,99.0035,?,?,30.2081,65.6183,4.1735,50.6789,1.2166,?,?,?,?,?,?,?,61.4,?,?,?,44.5798,?,35.4752,-22.0936,?,5.7482,?
"113",?,?,?,27.9808,64.6762,71.8,?,?,?,?,?,0.0,?,0.6214,?,?,?,94.9269,96.7902,?,?,76.3,78.9,77.6,94.9269,96.7902,?,?,35.6051,60.6387,3.7562,50.252,1.8913,?,?,?,?,?,?,?,76.6,?,?,?,38.587,?,35.3238,-4.4028,?,3.1258,?
"114",8.4,8.5649,1.3616,?,32.288,8.7,7.5,9.6,3.9294,2.7924,44.1178,0.0,2.9321,2.5722,7.1,8.6,6.9,?,?,?,?,54.5,67.1,60.2,?,?,13.9,16.0,14.5705,66.8986,18.5308,54.3031,-1.6021,4.9,12.0,14.1,33.4,81.0,54.7,8.4,51.2,7.7,29.3,27.6,?,?,67.712,-2.4742,67.6297,3.7935,9.6
"115",?,0.7302,1.0378,6.1187,12.6404,9.3,?,7.9,23.9739,6.9702,241.7034,0.0,3.9876,16.1091,?,?,?,89.8615,96.7084,47.8396,44.5244,22.8,70.5,47.2,92.6663,99.0333,?,?,21.6375,69.7967,8.5657,49.1285,0.9559,?,?,?,?,?,?,?,43.0,?,?,?,51.3006,46.389,87.3596,-3.8719,92.1998,8.5643,7.9
"116",?,?,?,7.4028,71.6994,99.6,?,10.9,?,7.0168,35.576,0.0,?,22.636,?,?,?,83.1553,80.1365,13.0702,8.6517,58.8,73.3,65.9,83.9782,80.4041,?,?,36.7508,59.0504,4.1988,50.7313,1.0796,?,?,?,?,?,?,?,48.4,?,?,?,?,?,28.3006,-24.0007,18.802,8.0799,10.9
"117",?,?,?,38.8395,51.4366,74.8,?,?,?,-0.0603,34.9395,0.0,?,?,?,?,?,?,?,?,?,58.2,64.7,61.4,?,?,?,?,43.0578,53.8947,3.0474,49.6643,2.6782,?,?,?,?,?,?,?,59.2,?,?,?,37.1259,?,48.5634,?,16.0165,78.0991,?
"118",?,?,?,?,22.093,15.4,?,?,?,10.7448,?,0.0,?,?,?,?,?,?,?,?,?,30.0,76.4,53.1,?,?,?,?,29.4548,65.8333,4.7119,49.649,0.8385,?,?,?,?,?,?,?,48.4,?,?,?,23.727,18.5838,77.907,?,?,?,?
"119",8.9,2.1515,1.6736,?,32.7706,5.4,8.9,11.7,9.3608,6.7146,47.3848,81.2,4.236,3.5617,7.3,7.3,5.7,?,?,?,?,55.8,66.3,60.6,?,?,11.5,15.0,15.1285,69.2929,15.5785,53.9385,-1.4849,6.4,11.5,16.1,34.1,77.2,53.9,8.9,52.5,6.5,21.8,29.9,?,?,67.2294,-0.2351,50.9871,1.3557,11.7
"120",1.3,2.9937,2.7298,?,14.3592,2.2,5.7,6.5,127.4752,-1.0261,480.3042,0.0,0.1674,3.0466,5.2,1.3,1.9,?,?,?,?,50.7,64.9,57.7,?,?,5.9,4.5,17.4557,68.4659,14.0786,50.2501,2.4947,0.9,1.6,3.8,19.0,93.2,77.0,1.3,54.8,1.6,18.6,18.9,?,?,85.6408,6.5384,171.193,50.5228,6.5
"121",?,?,?,?,66.7932,58.2,?,?,?,7.09,24.4373,0.0,?,?,?,?,?,?,?,3.9094,4.2628,86.8,90.6,88.7,?,?,?,?,42.7165,54.4641,2.8194,50.1734,2.7973,?,?,?,?,?,?,?,85.5,?,?,?,27.2005,9.379,33.2068,?,10.9547,8.969,?
"122",?,?,?,?,84.1518,71.0,?,?,17.6733,22.9392,36.3829,0.0,1.5064,0.6638,?,?,?,?,?,?,?,84.7,81.3,83.0,?,?,?,?,45.4447,51.4057,3.1496,49.9076,2.863,?,?,?,?,?,?,?,76.7,?,?,?,38.0058,?,15.8482,-18.7704,20.6062,3.037,?
"123",12.6,2.3986,2.5236,10.054,26.638,8.5,21.4,9.0,156.1603,8.846,141.1664,81.8,28.5734,0.4326,?,?,?,?,?,?,?,44.3,75.3,59.3,?,?,3.2,2.9,26.6526,68.1859,5.1615,51.4907,1.6585,8.2,15.1,20.3,33.1,71.5,51.9,12.6,57.5,?,11.0,9.8,7.3474,13.3837,73.362,6.1102,117.7638,3.191,9.0
"124",?,?,1.9857,3.9944,57.7668,10.5,?,?,?,4.9279,58.5739,0.0,?,0.1416,?,?,?,?,?,?,?,55.9,77.1,66.5,?,?,?,?,29.0259,65.9933,4.9808,49.6233,1.9326,?,?,?,?,?,?,?,59.0,?,?,?,?,?,42.2332,-27.0178,42.4786,12.7778,?
"125",?,?,?,?,64.4254,128.0,?,?,?,15.3483,32.5518,0.0,?,?,?,?,?,64.2662,73.0197,4.4209,10.3849,50.6,81.4,65.9,68.4764,77.9926,?,?,47.1375,50.046,2.8165,49.6162,2.9851,?,?,?,?,?,?,?,60.6,?,?,?,34.9575,14.2855,35.5746,?,20.887,3.0118,?
"126",1.0,0.1028,0.2998,?,5.0246,6.8,8.9,6.7,41.628,6.334,169.7755,0.0,1.2228,0.384,6.8,3.3,2.5,?,?,?,?,38.0,66.5,52.2,?,?,7.4,5.8,14.9795,69.4165,15.6035,49.9965,0.4048,0.5,1.4,10.5,28.4,88.4,69.5,1.0,48.8,3.0,14.5,14.0,?,?,94.9754,1.5281,127.927,6.8711,6.7
"127",?,?,?,?,27.854,37.9,?,?,?,?,?,0.0,?,?,?,?,?,?,?,41.1914,44.5902,?,?,?,?,?,?,?,?,?,?,?,0.1142,?,?,?,?,?,?,?,?,?,?,?,?,?,72.146,?,?,21.04,?
"128",?,?,?,16.971,58.21,84.0,?,?,?,10.5331,33.328,0.0,?,?,?,?,?,72.0895,67.115,3.0677,7.1549,28.6,79.0,53.8,72.8546,68.079,?,?,40.2169,56.6299,3.1531,49.6479,2.4906,?,?,?,?,?,?,?,37.1,?,?,?,?,?,41.79,?,28.7861,28.6819,?
"129",7.8,0.3647,1.9891,3.4671,58.1842,15.1,17.1,?,67.6417,8.162,100.4926,0.0,4.0093,0.0082,?,?,?,97.7769,97.8266,45.4083,34.3817,43.5,74.3,58.6,97.9221,97.9523,13.0,6.0,20.1724,71.4508,8.3769,50.6111,0.4194,6.5,8.6,20.1,31.8,73.4,59.7,7.8,54.0,2.0,28.4,20.4,?,?,41.8158,-11.2042,100.7792,3.442,?
"130",?,0.3884,1.1143,3.5593,21.6134,16.2,?,10.1,44.5671,10.0839,31.9643,99.2,25.3092,1.9833,13.5,0.1,0.1,?,?,?,?,45.0,80.0,61.6,?,?,4.9,4.8,29.0085,64.7275,6.264,51.5635,1.2375,?,?,?,?,?,?,?,58.6,0.1,9.9,9.1,20.8266,35.87,78.3866,-1.2039,27.7402,1.3117,10.1
"131",?,?,?,?,77.2876,38.5,?,?,?,13.8736,41.3314,0.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,35.8131,60.2389,3.948,48.867,-0.028,?,?,?,?,?,?,?,?,?,?,?,?,?,22.7124,?,19.3996,0.2453,?
"132",?,?,?,17.1045,30.6506,27.5,?,?,12.5877,18.7923,54.6267,0.0,2.8481,3.1189,?,?,?,96.6018,98.0513,72.3841,50.0254,56.1,68.8,62.3,96.9269,98.2806,?,?,27.0511,69.146,3.8027,50.4347,1.5233,?,?,?,?,?,?,?,59.1,?,?,?,51.5477,43.9661,69.3494,-32.7349,52.3206,43.3415,?
"133",5.7,?,?,10.1,36.5188,5.9,?,?,87.5006,7.9112,50.4584,0.0,1.1987,7.6057,4.1,15.3,16.7,99.0547,97.722,?,?,?,?,?,99.0547,97.722,20.4,18.9,19.0122,68.2252,12.7626,50.5942,0.0704,4.8,6.3,8.3,25.8,86.9,67.9,5.7,40.2,15.8,39.7,42.3,?,?,63.4812,-17.5901,53.4663,14.14,?
"135",39.2,?,?,14.5812,42.594,31.1,50.7,?,54.8373,4.3244,113.8993,17.2,6.2118,6.7804,?,?,?,96.6373,97.236,?,?,43.0,57.4,50.0,97.215,97.7312,9.9,8.7,27.8457,67.1728,4.9815,50.7303,1.4299,?,?,?,?,?,?,39.2,45.8,?,19.2,18.4,18.081,18.7559,57.406,-9.972,73.3431,2.9609,?
"136",?,?,?,30.3262,68.5268,89.7,?,?,?,29.3541,46.0274,0.0,?,1.546,?,?,?,83.8854,88.6006,?,?,26.3,75.8,50.3,84.1085,88.7702,?,?,45.3841,51.3571,3.2587,51.1614,2.499,?,?,?,?,?,?,?,78.0,?,?,?,22.5449,4.6976,31.4732,-44.2074,26.2765,36.7764,?
"137",?,?,?,?,66.7782,52.3,?,?,?,31.65,?,0.0,?,?,?,?,?,?,?,?,?,85.7,82.9,84.4,?,?,?,?,25.2782,69.5577,5.1641,51.475,0.8494,?,?,?,?,?,?,?,75.4,?,?,?,25.9125,12.8147,33.2218,?,?,?,?
"138",27.4,?,?,9.6337,61.0364,38.7,32.7,8.0,9.9833,6.2732,57.1454,63.9,1.7062,?,?,?,?,88.9881,86.3676,?,?,75.2,82.2,78.6,90.1257,86.971,18.9,14.7,36.587,59.9049,3.5081,51.482,1.8663,26.6,28.1,5.3,21.6,68.0,50.2,27.4,48.8,?,40.1,29.4,?,?,38.9636,?,48.4239,2.7347,8.0
"140",?,?,?,37.0272,82.6644,41.6,?,?,21.9386,14.8565,77.5221,0.5,1.2339,25.2778,?,?,?,97.1893,97.6613,?,?,54.3,63.2,58.5,97.3502,97.8836,?,?,35.5754,59.3559,5.0687,51.4813,1.1642,?,?,?,?,?,?,?,81.1,?,?,?,23.8506,?,17.3356,3.0425,55.8129,0.4851,?
